"model","p","n","rho","Wald","Clopper_Pearson","Wilson","Agresti_Coull"
"vasicek",0.05,1000,0.25,0.0223078727697161,0.0235303335918036,0.0227980205940467,0.0231689445549459
"vasicek",0.05,2000,0.01,0.0189589062546319,0.0194737665686662,0.0190205654860802,0.0190998954415419
"vasicek",0.05,2000,0.05,0.018496604295367,0.0190142553619755,0.0185660705184462,0.0186525391045911
"vasicek",0.05,2000,0.1,0.0178702098263591,0.0183924285335178,0.0179520999929001,0.0180496229555857
"vasicek",0.05,2000,0.2,0.0166388426973182,0.0171834601140823,0.0167659519066361,0.0168920054666982
"vasicek",0.05,2000,0.25,0.0160956580284809,0.0166642963075961,0.0162620335167423,0.0164037878268379
"vasicek",0.05,5000,0.01,0.0120185525559388,0.0122223484651931,0.0120341011097467,0.012054212462825
"vasicek",0.05,5000,0.05,0.0117418823096621,0.0119463560895349,0.0117593387266734,0.0117812292673026
"vasicek",0.05,5000,0.1,0.0113891405079455,0.011594668643878,0.0114095839415115,0.0114342692390639
"vasicek",0.05,5000,0.2,0.0106165940563782,0.0108260781324456,0.0106466552446745,0.0106791059960872
"vasicek",0.05,5000,0.25,0.0101151663502695,0.0103289870773572,0.010154014739907,0.010192156529781
"vasicek",0.05,10000,0.01,0.00849953190608494,0.00860088586278582,0.00850503265811496,0.00851215636429074
"vasicek",0.05,10000,0.05,0.0082669438501198,0.00836855916568159,0.00827317830704835,0.0082809869794207
"vasicek",0.05,10000,0.1,0.00804581025095625,0.00814776177122314,0.00805300051529458,0.00806171347313646
"vasicek",0.05,10000,0.2,0.00746588898053745,0.00756922670715764,0.00747665926575762,0.00748847582248291
"vasicek",0.05,10000,0.25,0.00726643328866265,0.00737081920701909,0.00727959605898955,0.00729325131559736
