"p","n","rho","method","coverage_classic","width_classic","coverage_corrected","width_corrected","rho_default","deff","n_eff","coverage_change","width_change","width_ratio"
0.01,1e+05,0.25,"Wilson",0.0242,0.00094838049437251,0.9587,0.125537396546246,0.0326122521296136,3262.19260070923,30.6542292991098,0.9345,0.124589016051873,132.370285229566
0.05,1e+05,0.01,"Agresti_Coull",0.1016,0.00268642444057354,0.958,0.0417413570273123,0.00225596632526884,226.594376560558,441.317218537745,0.8564,0.0390549325867388,15.5378861198868
0.05,1e+05,0.01,"Clopper_Pearson",0.1019,0.00269606786579851,0.9655,0.0428295299867602,0.00225596632526884,226.594376560558,441.317218537745,0.8636,0.0401334621209617,15.8859242862847
0.05,1e+05,0.01,"Wald",0.1006,0.00268602433939852,0.9455,0.0404314991285082,0.00225596632526884,226.594376560558,441.317218537745,0.8449,0.0377454747891097,15.0525438416399
0.05,1e+05,0.01,"Wilson",0.1016,0.00268619860953028,0.9541,0.0410093223521421,0.00225596632526884,226.594376560558,441.317218537745,0.8525,0.0383231237426118,15.2666754448634
0.05,1e+05,0.1,"Agresti_Coull",0.0259,0.00253143684879917,0.9632,0.166117350446073,0.0259158529344752,2592.55937759458,38.5719227355871,0.9373,0.163585913597274,65.6217635944083
0.05,1e+05,0.1,"Clopper_Pearson",0.0259,0.00254099013089197,0.9757,0.160816067611107,0.0259158529344752,2592.55937759458,38.5719227355871,0.9498,0.158275077480215,63.2887415248068
0.05,1e+05,0.1,"Wald",0.0254,0.00253092661093727,0.9117,0.111941310655875,0.0259158529344752,2592.55937759458,38.5719227355871,0.8863,0.109410384044938,44.2293783518362
0.05,1e+05,0.1,"Wilson",0.0259,0.00253115746076941,0.9518,0.150010312991387,0.0259158529344752,2592.55937759458,38.5719227355871,0.9259,0.147479155530618,59.2655001976003
0.05,1e+05,0.25,"Agresti_Coull",0.0185,0.00227093132979371,0.9613,0.314091596506655,0.0763086948008772,7631.79317139292,13.1030804627726,0.9428,0.311820665176861,138.309596765829
0.05,1e+05,0.25,"Clopper_Pearson",0.0185,0.00228018885533822,0.9787,0.311412504147269,0.0763086948008772,7631.79317139292,13.1030804627726,0.9602,0.309132315291931,136.573119116082
0.05,1e+05,0.25,"Wald",0.0184,0.00227005826933268,0.8358,0.146636631114019,0.0763086948008772,7631.79317139292,13.1030804627726,0.8174,0.144366572844686,64.5959767178687
0.05,1e+05,0.25,"Wilson",0.0185,0.00227047614428956,0.9484,0.281481225802842,0.0763086948008772,7631.79317139292,13.1030804627726,0.9299,0.279210749658552,123.97453569851
