"p","n","rho","method","coverage_classic","width_classic","coverage_corrected","width_corrected","rho_default","deff","n_eff","coverage_change","width_change","width_ratio"
0.01,10000,0.25,"Clopper_Pearson",0.0905,0.00311088228652527,0.982,0.134580083324386,0.0339119793120033,340.085881140721,29.4043374175307,0.8915,0.131469201037861,43.2610658099527
0.01,10000,0.25,"Wald",0.0855,0.0029811137998848,0.8089,0.0379059429319279,0.0339119793120033,340.085881140721,29.4043374175307,0.7234,0.0349248291320431,12.7153626048736
0.01,10000,0.25,"Wilson",0.0883,0.00304048900695832,0.9542,0.130035882164139,0.0339119793120033,340.085881140721,29.4043374175307,0.8659,0.126995393157181,42.7680816692794
0.02,10000,0.01,"Agresti_Coull",0.4105,0.00546954087157305,0.9641,0.0221892515090139,0.0013727079602002,14.7257068940418,679.084547312708,0.5536,0.0167197106374408,4.05687644173911
0.02,10000,0.01,"Clopper_Pearson",0.4159,0.00554883965787017,0.9718,0.0225427753476934,0.0013727079602002,14.7257068940418,679.084547312708,0.5559,0.0169939356898233,4.0626106965841
0.02,10000,0.01,"Wald",0.4061,0.00544523411062995,0.9553,0.0208731691743009,0.0013727079602002,14.7257068940418,679.084547312708,0.5492,0.015427935063671,3.83329141598397
0.02,10000,0.01,"Wilson",0.4105,0.00545688298845467,0.9593,0.0215154942592326,0.0013727079602002,14.7257068940418,679.084547312708,0.5488,0.0160586112707779,3.94281759472463
0.02,10000,0.05,"Agresti_Coull",0.195,0.00531962446439764,0.9675,0.0582184845448656,0.00728091768541191,73.8018959364336,135.497874046666,0.7725,0.052898860080468,10.9440966997767
0.02,10000,0.05,"Clopper_Pearson",0.1975,0.00539671433875724,0.9771,0.0551786429129486,0.00728091768541191,73.8018959364336,135.497874046666,0.7796,0.0497819285741913,10.2244883551971
0.02,10000,0.05,"Wald",0.1918,0.00529263644840102,0.942,0.0415826567265582,0.00728091768541191,73.8018959364336,135.497874046666,0.7502,0.0362900202781571,7.85669998911806
0.02,10000,0.05,"Wilson",0.195,0.00530565193421085,0.9558,0.0524769759723754,0.00728091768541191,73.8018959364336,135.497874046666,0.7608,0.0471713240381646,9.89076867896363
0.02,10000,0.1,"Agresti_Coull",0.1327,0.00508558475512008,0.9688,0.0925288778130681,0.015013850270207,151.123488851799,66.1710504169646,0.8361,0.087443293057948,18.1943438696822
0.02,10000,0.1,"Clopper_Pearson",0.1342,0.00515889053750013,0.9764,0.0853260630551009,0.015013850270207,151.123488851799,66.1710504169646,0.8422,0.0801671725176008,16.5396149491568
0.02,10000,0.1,"Wald",0.1312,0.00505399132449245,0.9049,0.0505873495636978,0.015013850270207,151.123488851799,66.1710504169646,0.7737,0.0455333582392054,10.0093859121885
0.02,10000,0.1,"Wilson",0.1327,0.00506936968726857,0.9532,0.08191805972906,0.015013850270207,151.123488851799,66.1710504169646,0.8205,0.0768486900417915,16.1594172022594
0.02,10000,0.2,"Agresti_Coull",0.0799,0.0046792038530963,0.9732,0.171354767887126,0.0364869714730913,365.83322775944,27.3348598246403,0.8933,0.16667556403403,36.6204964064001
0.02,10000,0.2,"Clopper_Pearson",0.0812,0.00474123981392049,0.9788,0.15760353606289,0.0364869714730913,365.83322775944,27.3348598246403,0.8976,0.15286229624897,33.2409965005692
0.02,10000,0.2,"Wald",0.0788,0.00463163041757979,0.8515,0.0637502771603368,0.0364869714730913,365.83322775944,27.3348598246403,0.7727,0.059118646742757,13.7641114278822
