"model","method","p","n","rho","B","coverage","avg_width","median_width","lower_zero_rate","mean_p_hat","sd_p_hat","mean_defaults","sd_defaults"
"vasicek","Wald",0.001,25000,0.2,10000,0.143,0.000547609021092132,0.000414788100007281,0.3719,0.000998312,0.00245698909036956,24.9578,61.4247272592389
"vasicek","Clopper_Pearson",0.001,25000,0.2,10000,0.152,0.000618511754167894,0.000464239678300438,0.1404,0.000998312,0.00245698909036956,24.9578,61.4247272592389
"vasicek","Wilson",0.001,25000,0.2,10000,0.1479,0.00060043280715233,0.000442266821673793,0.1404,0.000998312,0.00245698909036956,24.9578,61.4247272592389
"vasicek","Agresti_Coull",0.001,25000,0.2,10000,0.1479,0.000624573453406779,0.000468159722371821,0.2422,0.000998312,0.00245698909036956,24.9578,61.4247272592389
"vasicek","Wald",0.001,25000,0.25,10000,0.1169,0.000503789605531271,0.000313569148983825,0.4554,0.001027532,0.00352666520749058,25.6883,88.1666301872645
"vasicek","Clopper_Pearson",0.001,25000,0.25,10000,0.1243,0.000582513896893588,0.000366016129931133,0.2132,0.001027532,0.00352666520749058,25.6883,88.1666301872645
"vasicek","Wilson",0.001,25000,0.25,10000,0.1203,0.000567024572629331,0.000349140424614281,0.2132,0.001027532,0.00352666520749058,25.6883,88.1666301872645
"vasicek","Agresti_Coull",0.001,25000,0.25,10000,0.1203,0.000592184307671012,0.000381423574543473,0.3224,0.001027532,0.00352666520749058,25.6883,88.1666301872645
"independent","Wald",0.001,50000,0,10000,0.9459,0.000552006014947609,0.000554084279645141,0,0.000997602,0.000141858457549058,49.8801,7.09292287745289
"independent","Clopper_Pearson",0.001,50000,0,10000,0.9512,0.000573795725978986,0.000575857888870404,0,0.000997602,0.000141858457549058,49.8801,7.09292287745289
"independent","Wilson",0.001,50000,0,10000,0.9437,0.00055731125545892,0.000559342502657576,0,0.000997602,0.000141858457549058,49.8801,7.09292287745289
"independent","Agresti_Coull",0.001,50000,0,10000,0.9437,0.000562585829631027,0.000564572241161435,0,0.000997602,0.000141858457549058,49.8801,7.09292287745289
"vasicek","Wald",0.001,50000,0.01,10000,0.5446,0.000543371491583115,0.00053722077237862,0,0.000994762,0.000370782134541471,49.7381,18.5391067270735
"vasicek","Clopper_Pearson",0.001,50000,0.01,10000,0.5564,0.000565244968078181,0.000559051089856628,0,0.000994762,0.000370782134541471,49.7381,18.5391067270735
"vasicek","Wilson",0.001,50000,0.01,10000,0.5435,0.000548920799862801,0.000542645033229555,0,0.000994762,0.000370782134541471,49.7381,18.5391067270735
"vasicek","Agresti_Coull",0.001,50000,0.01,10000,0.5435,0.000554426351986233,0.000548035423926893,0,0.000994762,0.000370782134541471,49.7381,18.5391067270735
