"method","p","n","rho","width_vasicek","width_ind","width_diff"
"Wilson",0.005,5000,0.05,0.0037429628827116,0.00396314386634593,-0.00022018098363433
"Agresti_Coull",0.005,5000,0.1,0.00367125530917484,0.0040360220716454,-0.00036476676247056
"Clopper_Pearson",0.005,5000,0.1,0.00370605407811067,0.00411448959997559,-0.00040843552186492
"Wald",0.005,5000,0.1,0.00345314613815052,0.00389027469464855,-0.00043712855649803
"Wilson",0.005,5000,0.1,0.00357534382671946,0.00396314386634593,-0.000387800039626469
"Agresti_Coull",0.005,5000,0.2,0.00333393393038199,0.0040360220716454,-0.00070208814126341
"Clopper_Pearson",0.005,5000,0.2,0.00332854501569241,0.00411448959997559,-0.00078594458428318
"Wald",0.005,5000,0.2,0.00301431837221095,0.00389027469464855,-0.0008759563224376
"Wilson",0.005,5000,0.2,0.00322241811786723,0.00396314386634593,-0.000740725748478699
"Agresti_Coull",0.005,5000,0.25,0.00315479468229134,0.0040360220716454,-0.00088122738935406
"Clopper_Pearson",0.005,5000,0.25,0.00312988182916626,0.00411448959997559,-0.00098460777080933
"Wald",0.005,5000,0.25,0.0027795451976105,0.00389027469464855,-0.00111072949703805
"Wilson",0.005,5000,0.25,0.00303680833495188,0.00396314386634593,-0.00092633553139405
"Agresti_Coull",0.005,10000,0.01,0.0027865295616027,0.00280931172825939,-2.278216665669e-05
"Clopper_Pearson",0.005,10000,0.01,0.00284208681964066,0.00286618385599908,-2.40970363584196e-05
"Wald",0.005,10000,0.01,0.00273328281492345,0.00275766337091093,-2.43805559874801e-05
"Wilson",0.005,10000,0.01,0.00275979504783286,0.00278335260856963,-2.355756073677e-05
"Agresti_Coull",0.005,10000,0.05,0.00267097042823852,0.00280931172825939,-0.00013834130002087
"Clopper_Pearson",0.005,10000,0.05,0.00271981354530836,0.00286618385599908,-0.00014637031069072
"Wald",0.005,10000,0.05,0.00260928602044252,0.00275766337091093,-0.00014837735046841
"Wilson",0.005,10000,0.05,0.00264032633505357,0.00278335260856963,-0.00014302627351606
"Agresti_Coull",0.005,10000,0.1,0.00254029466329415,0.00280931172825939,-0.00026901706496524
"Clopper_Pearson",0.005,10000,0.1,0.00257924090075744,0.00286618385599908,-0.00028694295524164
"Wald",0.005,10000,0.1,0.00246370896519696,0.00275766337091093,-0.00029395440571397
"Wilson",0.005,10000,0.1,0.00250420565312377,0.00278335260856963,-0.00027914695544586
"Agresti_Coull",0.005,10000,0.2,0.00229014312082505,0.00280931172825939,-0.00051916860743434
"Clopper_Pearson",0.005,10000,0.2,0.00230834683559772,0.00286618385599908,-0.00055783702040136
"Wald",0.005,10000,0.2,0.00217105953673256,0.00275766337091093,-0.00058660383417837
"Wilson",0.005,10000,0.2,0.00224440855410036,0.00278335260856963,-0.00053894405446927
"Agresti_Coull",0.005,10000,0.25,0.00214999078168655,0.00280931172825939,-0.00065932094657284
"Clopper_Pearson",0.005,10000,0.25,0.00215706033555706,0.00286618385599908,-0.00070912352044202
"Wald",0.005,10000,0.25,0.00200355835589521,0.00275766337091093,-0.00075410501501572
"Wilson",0.005,10000,0.25,0.00209981246048141,0.00278335260856963,-0.00068354014808822
"Agresti_Coull",0.005,25000,0.01,0.00173760492140239,0.0017616043482401,-2.399942683771e-05
"Clopper_Pearson",0.005,25000,0.01,0.00176628388701446,0.00179068083623075,-2.43969492162901e-05
"Wald",0.005,25000,0.01,0.00172405186125467,0.00174853213056278,-2.448026930811e-05
"Wilson",0.005,25000,0.01,0.0017307775923957,0.00175501410816191,-2.42365157662101e-05
"Agresti_Coull",0.005,25000,0.05,0.00166196449606685,0.0017616043482401,-9.96398521732498e-05
"Clopper_Pearson",0.005,25000,0.05,0.00168894088703986,0.00179068083623075,-0.00010173994919089
"Wald",0.005,25000,0.05,0.00164634898041495,0.00174853213056278,-0.00010218315014783
