"model","method","p","n","rho","avg_width","median_width"
"vasicek","Agresti_Coull",0.001,5000,0.01,0.00199964209472916,0.00205944377452744
"vasicek","Clopper_Pearson",0.001,5000,0.01,0.00193123735418186,0.00200733611636777
"vasicek","Wald",0.001,5000,0.01,0.00161825072062026,0.00175216833937232
"vasicek","Wilson",0.001,5000,0.01,0.00184733395065774,0.00191173955894941
"vasicek","Agresti_Coull",0.001,5000,0.05,0.00193616403559149,0.00190504423112638
"vasicek","Clopper_Pearson",0.001,5000,0.05,0.00185620139445741,0.00182902483867165
"vasicek","Wald",0.001,5000,0.05,0.00149363843791959,0.0015673438736691
"vasicek","Wilson",0.001,5000,0.05,0.0017843853253908,0.00174417966974191
"vasicek","Agresti_Coull",0.001,5000,0.1,0.00185028231923186,0.0017369033067742
"vasicek","Clopper_Pearson",0.001,5000,0.1,0.00175718224348035,0.00162869208292674
"vasicek","Wald",0.001,5000,0.1,0.00134123279149808,0.00127874772445158
"vasicek","Wilson",0.001,5000,0.1,0.001699311921291,0.00155863139433436
"vasicek","Agresti_Coull",0.001,5000,0.2,0.00170261744410056,0.00125290898005159
"vasicek","Clopper_Pearson",0.001,5000,0.2,0.00158880181887776,0.00110875583155692
"vasicek","Wald",0.001,5000,0.2,0.00109592553385512,0.00059195359566816
"vasicek","Wilson",0.001,5000,0.2,0.00155164969978258,0.00109678329740037
"vasicek","Agresti_Coull",0.001,5000,0.25,0.00163287388733878,0.00125290898005159
"vasicek","Clopper_Pearson",0.001,5000,0.25,0.00151083825874334,0.00110875583155692
"vasicek","Wald",0.001,5000,0.25,0.000987095332109163,0.00059195359566816
"vasicek","Wilson",0.001,5000,0.25,0.00148180931674016,0.00109678329740037
"vasicek","Agresti_Coull",0.001,10000,0.01,0.0013235804686747,0.00129419563423365
"vasicek","Clopper_Pearson",0.001,10000,0.01,0.00132313792446598,0.00129617247998892
"vasicek","Wald",0.001,10000,0.01,0.00119846844655564,0.00117544908132678
"vasicek","Wilson",0.001,10000,0.01,0.00126444812323193,0.00123615305243937
"vasicek","Agresti_Coull",0.001,10000,0.05,0.00127376159592185,0.00123358090571349
"vasicek","Clopper_Pearson",0.001,10000,0.05,0.00126183949632603,0.00123026262836937
"vasicek","Wald",0.001,10000,0.05,0.00111780600757002,0.00110827948152261
"vasicek","Wilson",0.001,10000,0.05,0.00121002701529044,0.00117251653348975
"vasicek","Agresti_Coull",0.001,10000,0.1,0.00120265094118074,0.00103047377796174
"vasicek","Clopper_Pearson",0.001,10000,0.1,0.00117911793331745,0.00100407627486775
