"model","method","p","n","rho","lower_zero_rate"
"vasicek","Wald",0.005,5000,0.1,0.0983
"vasicek","Wilson",0.005,5000,0.1,0
"vasicek","Agresti_Coull",0.005,5000,0.2,0.16
"vasicek","Clopper_Pearson",0.005,5000,0.2,0.0851
"vasicek","Wald",0.005,5000,0.2,0.2715
"vasicek","Wilson",0.005,5000,0.2,0
"vasicek","Agresti_Coull",0.005,5000,0.25,0.2368
"vasicek","Clopper_Pearson",0.005,5000,0.25,0.1403
"vasicek","Wald",0.005,5000,0.25,0.3581
"vasicek","Wilson",0.005,5000,0.25,0
"vasicek","Agresti_Coull",0.005,10000,0.01,0
"vasicek","Clopper_Pearson",0.005,10000,0.01,0
"vasicek","Wald",0.005,10000,0.01,0
"vasicek","Wilson",0.005,10000,0.01,0
"vasicek","Agresti_Coull",0.005,10000,0.05,5e-04
"vasicek","Clopper_Pearson",0.005,10000,0.05,0
"vasicek","Wald",0.005,10000,0.05,0.0035
"vasicek","Wilson",0.005,10000,0.05,0
"vasicek","Agresti_Coull",0.005,10000,0.1,0.0101
"vasicek","Clopper_Pearson",0.005,10000,0.1,0.0033
"vasicek","Wald",0.005,10000,0.1,0.034
"vasicek","Wilson",0.005,10000,0.1,0.0033
"vasicek","Agresti_Coull",0.005,10000,0.2,0.0883
"vasicek","Clopper_Pearson",0.005,10000,0.2,0.0455
"vasicek","Wald",0.005,10000,0.2,0.1612
"vasicek","Wilson",0.005,10000,0.2,0.0455
"vasicek","Agresti_Coull",0.005,10000,0.25,0.1516
"vasicek","Clopper_Pearson",0.005,10000,0.25,0.0907
"vasicek","Wald",0.005,10000,0.25,0.242
"vasicek","Wilson",0.005,10000,0.25,0.0907
"vasicek","Agresti_Coull",0.005,25000,0.01,0
"vasicek","Clopper_Pearson",0.005,25000,0.01,0
"vasicek","Wald",0.005,25000,0.01,0
"vasicek","Wilson",0.005,25000,0.01,0
"vasicek","Agresti_Coull",0.005,25000,0.05,0
"vasicek","Clopper_Pearson",0.005,25000,0.05,0
"vasicek","Wald",0.005,25000,0.05,0
"vasicek","Wilson",0.005,25000,0.05,0
"vasicek","Agresti_Coull",0.005,25000,0.1,0.0012
"vasicek","Clopper_Pearson",0.005,25000,0.1,3e-04
"vasicek","Wald",0.005,25000,0.1,0.006
"vasicek","Wilson",0.005,25000,0.1,3e-04
"vasicek","Agresti_Coull",0.005,25000,0.2,0.0355
"vasicek","Clopper_Pearson",0.005,25000,0.2,0.0177
"vasicek","Wald",0.005,25000,0.2,0.0735
"vasicek","Wilson",0.005,25000,0.2,0.0177
"vasicek","Agresti_Coull",0.005,25000,0.25,0.0804
"vasicek","Clopper_Pearson",0.005,25000,0.25,0.0458
"vasicek","Wald",0.005,25000,0.25,0.1361
"vasicek","Wilson",0.005,25000,0.25,0.0458
"vasicek","Agresti_Coull",0.005,50000,0.01,0
"vasicek","Clopper_Pearson",0.005,50000,0.01,0
"vasicek","Wald",0.005,50000,0.01,0
"vasicek","Wilson",0.005,50000,0.01,0
"vasicek","Agresti_Coull",0.005,50000,0.05,0
"vasicek","Clopper_Pearson",0.005,50000,0.05,0
"vasicek","Wald",0.005,50000,0.05,0
"vasicek","Wilson",0.005,50000,0.05,0
"vasicek","Agresti_Coull",0.005,50000,0.1,4e-04
"vasicek","Clopper_Pearson",0.005,50000,0.1,0
"vasicek","Wald",0.005,50000,0.1,9e-04
"vasicek","Wilson",0.005,50000,0.1,0
"vasicek","Agresti_Coull",0.005,50000,0.2,0.0174
"vasicek","Clopper_Pearson",0.005,50000,0.2,0.0074
"vasicek","Wald",0.005,50000,0.2,0.0388
"vasicek","Wilson",0.005,50000,0.2,0.0074
"vasicek","Agresti_Coull",0.005,50000,0.25,0.0455
"vasicek","Clopper_Pearson",0.005,50000,0.25,0.0234
"vasicek","Wald",0.005,50000,0.25,0.0819
"vasicek","Wilson",0.005,50000,0.25,0.0234
"vasicek","Agresti_Coull",0.005,1e+05,0.01,0
"vasicek","Clopper_Pearson",0.005,1e+05,0.01,0
"vasicek","Wald",0.005,1e+05,0.01,0
"vasicek","Wilson",0.005,1e+05,0.01,0
"vasicek","Agresti_Coull",0.005,1e+05,0.05,0
"vasicek","Clopper_Pearson",0.005,1e+05,0.05,0
"vasicek","Wald",0.005,1e+05,0.05,0
"vasicek","Wilson",0.005,1e+05,0.05,0
"vasicek","Agresti_Coull",0.005,1e+05,0.1,0
"vasicek","Clopper_Pearson",0.005,1e+05,0.1,0
"vasicek","Wald",0.005,1e+05,0.1,1e-04
"vasicek","Wilson",0.005,1e+05,0.1,0
"vasicek","Agresti_Coull",0.005,1e+05,0.2,0.0056
"vasicek","Clopper_Pearson",0.005,1e+05,0.2,0.0029
"vasicek","Wald",0.005,1e+05,0.2,0.0156
"vasicek","Wilson",0.005,1e+05,0.2,0.0029
"vasicek","Agresti_Coull",0.005,1e+05,0.25,0.0228
"vasicek","Clopper_Pearson",0.005,1e+05,0.25,0.0117
"vasicek","Wald",0.005,1e+05,0.25,0.044
"vasicek","Wilson",0.005,1e+05,0.25,0.0117
"vasicek","Agresti_Coull",0.01,5000,0.01,0
"vasicek","Clopper_Pearson",0.01,5000,0.01,0
"vasicek","Wald",0.01,5000,0.01,0
"vasicek","Wilson",0.01,5000,0.01,0
"vasicek","Agresti_Coull",0.01,5000,0.05,4e-04
"vasicek","Clopper_Pearson",0.01,5000,0.05,0
"vasicek","Wald",0.01,5000,0.05,0.0017
"vasicek","Wilson",0.01,5000,0.05,0
"vasicek","Agresti_Coull",0.01,5000,0.1,0.0051
"vasicek","Clopper_Pearson",0.01,5000,0.1,0.0013
"vasicek","Wald",0.01,5000,0.1,0.0172
"vasicek","Wilson",0.01,5000,0.1,0
"vasicek","Agresti_Coull",0.01,5000,0.2,0.0655
"vasicek","Clopper_Pearson",0.01,5000,0.2,0.0325
"vasicek","Wald",0.01,5000,0.2,0.132
"vasicek","Wilson",0.01,5000,0.2,0
"vasicek","Agresti_Coull",0.01,5000,0.25,0.1217
"vasicek","Clopper_Pearson",0.01,5000,0.25,0.0648
"vasicek","Wald",0.01,5000,0.25,0.2079
"vasicek","Wilson",0.01,5000,0.25,0
"vasicek","Agresti_Coull",0.01,10000,0.01,0
"vasicek","Clopper_Pearson",0.01,10000,0.01,0
"vasicek","Wald",0.01,10000,0.01,0
"vasicek","Wilson",0.01,10000,0.01,0
"vasicek","Agresti_Coull",0.01,10000,0.05,0
"vasicek","Clopper_Pearson",0.01,10000,0.05,0
"vasicek","Wald",0.01,10000,0.05,2e-04
"vasicek","Wilson",0.01,10000,0.05,0
"vasicek","Agresti_Coull",0.01,10000,0.1,5e-04
"vasicek","Clopper_Pearson",0.01,10000,0.1,2e-04
"vasicek","Wald",0.01,10000,0.1,0.0058
"vasicek","Wilson",0.01,10000,0.1,2e-04
"vasicek","Agresti_Coull",0.01,10000,0.2,0.0288
"vasicek","Clopper_Pearson",0.01,10000,0.2,0.0124
"vasicek","Wald",0.01,10000,0.2,0.0648
"vasicek","Wilson",0.01,10000,0.2,0.0124
"vasicek","Agresti_Coull",0.01,10000,0.25,0.0696
"vasicek","Clopper_Pearson",0.01,10000,0.25,0.0375
"vasicek","Wald",0.01,10000,0.25,0.1218
"vasicek","Wilson",0.01,10000,0.25,0.0375
"vasicek","Agresti_Coull",0.01,25000,0.01,0
"vasicek","Clopper_Pearson",0.01,25000,0.01,0
"vasicek","Wald",0.01,25000,0.01,0
"vasicek","Wilson",0.01,25000,0.01,0
"vasicek","Agresti_Coull",0.01,25000,0.05,0
"vasicek","Clopper_Pearson",0.01,25000,0.05,0
"vasicek","Wald",0.01,25000,0.05,0
"vasicek","Wilson",0.01,25000,0.05,0
"vasicek","Agresti_Coull",0.01,25000,0.1,0
"vasicek","Clopper_Pearson",0.01,25000,0.1,0
"vasicek","Wald",0.01,25000,0.1,7e-04
"vasicek","Wilson",0.01,25000,0.1,0
"vasicek","Agresti_Coull",0.01,25000,0.2,0.0096
"vasicek","Clopper_Pearson",0.01,25000,0.2,0.0034
"vasicek","Wald",0.01,25000,0.2,0.0204
"vasicek","Wilson",0.01,25000,0.2,0.0034
"vasicek","Agresti_Coull",0.01,25000,0.25,0.0269
"vasicek","Clopper_Pearson",0.01,25000,0.25,0.0133
"vasicek","Wald",0.01,25000,0.25,0.0507
"vasicek","Wilson",0.01,25000,0.25,0.0133
"vasicek","Agresti_Coull",0.01,50000,0.01,0
"vasicek","Clopper_Pearson",0.01,50000,0.01,0
"vasicek","Wald",0.01,50000,0.01,0
"vasicek","Wilson",0.01,50000,0.01,0
"vasicek","Agresti_Coull",0.01,50000,0.05,0
"vasicek","Clopper_Pearson",0.01,50000,0.05,0
"vasicek","Wald",0.01,50000,0.05,0
"vasicek","Wilson",0.01,50000,0.05,0
"vasicek","Agresti_Coull",0.01,50000,0.1,0
"vasicek","Clopper_Pearson",0.01,50000,0.1,0
"vasicek","Wald",0.01,50000,0.1,1e-04
"vasicek","Wilson",0.01,50000,0.1,0
"vasicek","Agresti_Coull",0.01,50000,0.2,0.0057
"vasicek","Clopper_Pearson",0.01,50000,0.2,0.0021
"vasicek","Wald",0.01,50000,0.2,0.0115
"vasicek","Wilson",0.01,50000,0.2,0.0021
"vasicek","Agresti_Coull",0.01,50000,0.25,0.0152
"vasicek","Clopper_Pearson",0.01,50000,0.25,0.0075
"vasicek","Wald",0.01,50000,0.25,0.0296
"vasicek","Wilson",0.01,50000,0.25,0.0075
"vasicek","Agresti_Coull",0.01,1e+05,0.01,0
"vasicek","Clopper_Pearson",0.01,1e+05,0.01,0
"vasicek","Wald",0.01,1e+05,0.01,0
"vasicek","Wilson",0.01,1e+05,0.01,0
"vasicek","Agresti_Coull",0.01,1e+05,0.05,0
"vasicek","Clopper_Pearson",0.01,1e+05,0.05,0
"vasicek","Wald",0.01,1e+05,0.05,0
"vasicek","Wilson",0.01,1e+05,0.05,0
"vasicek","Agresti_Coull",0.01,1e+05,0.1,0
"vasicek","Clopper_Pearson",0.01,1e+05,0.1,0
"vasicek","Wald",0.01,1e+05,0.1,0
"vasicek","Wilson",0.01,1e+05,0.1,0
"vasicek","Agresti_Coull",0.01,1e+05,0.2,0.0013
"vasicek","Clopper_Pearson",0.01,1e+05,0.2,3e-04
"vasicek","Wald",0.01,1e+05,0.2,0.0036
"vasicek","Wilson",0.01,1e+05,0.2,3e-04
"vasicek","Agresti_Coull",0.01,1e+05,0.25,0.0062
"vasicek","Clopper_Pearson",0.01,1e+05,0.25,0.0026
"vasicek","Wald",0.01,1e+05,0.25,0.0131
"vasicek","Wilson",0.01,1e+05,0.25,0.0026
"vasicek","Agresti_Coull",0.02,5000,0.01,0
"vasicek","Clopper_Pearson",0.02,5000,0.01,0
"vasicek","Wald",0.02,5000,0.01,0
"vasicek","Wilson",0.02,5000,0.01,0
"vasicek","Agresti_Coull",0.02,5000,0.05,0
"vasicek","Clopper_Pearson",0.02,5000,0.05,0
"vasicek","Wald",0.02,5000,0.05,0
"vasicek","Wilson",0.02,5000,0.05,0
"vasicek","Agresti_Coull",0.02,5000,0.1,4e-04
"vasicek","Clopper_Pearson",0.02,5000,0.1,1e-04
"vasicek","Wald",0.02,5000,0.1,0.0018
"vasicek","Wilson",0.02,5000,0.1,0
"vasicek","Agresti_Coull",0.02,5000,0.2,0.0185
"vasicek","Clopper_Pearson",0.02,5000,0.2,0.0078
"vasicek","Wald",0.02,5000,0.2,0.045
"vasicek","Wilson",0.02,5000,0.2,0
"vasicek","Agresti_Coull",0.02,5000,0.25,0.0439
"vasicek","Clopper_Pearson",0.02,5000,0.25,0.0208
"vasicek","Wald",0.02,5000,0.25,0.0852
"vasicek","Wilson",0.02,5000,0.25,0
"vasicek","Agresti_Coull",0.02,10000,0.01,0
"vasicek","Clopper_Pearson",0.02,10000,0.01,0
"vasicek","Wald",0.02,10000,0.01,0
"vasicek","Wilson",0.02,10000,0.01,0
"vasicek","Agresti_Coull",0.02,10000,0.05,0
"vasicek","Clopper_Pearson",0.02,10000,0.05,0
"vasicek","Wald",0.02,10000,0.05,0
"vasicek","Wilson",0.02,10000,0.05,0
"vasicek","Agresti_Coull",0.02,10000,0.1,0
"vasicek","Clopper_Pearson",0.02,10000,0.1,0
"vasicek","Wald",0.02,10000,0.1,1e-04
"vasicek","Wilson",0.02,10000,0.1,0
"vasicek","Agresti_Coull",0.02,10000,0.2,0.0086
"vasicek","Clopper_Pearson",0.02,10000,0.2,0.0042
"vasicek","Wald",0.02,10000,0.2,0.0203
"vasicek","Wilson",0.02,10000,0.2,0.0042
"vasicek","Agresti_Coull",0.02,10000,0.25,0.0218
"vasicek","Clopper_Pearson",0.02,10000,0.25,0.0103
"vasicek","Wald",0.02,10000,0.25,0.044
"vasicek","Wilson",0.02,10000,0.25,0.0103
"vasicek","Agresti_Coull",0.02,25000,0.01,0
"vasicek","Clopper_Pearson",0.02,25000,0.01,0
"vasicek","Wald",0.02,25000,0.01,0
"vasicek","Wilson",0.02,25000,0.01,0
"vasicek","Agresti_Coull",0.02,25000,0.05,0
"vasicek","Clopper_Pearson",0.02,25000,0.05,0
"vasicek","Wald",0.02,25000,0.05,0
"vasicek","Wilson",0.02,25000,0.05,0
"vasicek","Agresti_Coull",0.02,25000,0.1,0
"vasicek","Clopper_Pearson",0.02,25000,0.1,0
"vasicek","Wald",0.02,25000,0.1,1e-04
"vasicek","Wilson",0.02,25000,0.1,0
"vasicek","Agresti_Coull",0.02,25000,0.2,0.002
"vasicek","Clopper_Pearson",0.02,25000,0.2,8e-04
"vasicek","Wald",0.02,25000,0.2,0.0045
"vasicek","Wilson",0.02,25000,0.2,8e-04
"vasicek","Agresti_Coull",0.02,25000,0.25,0.0068
"vasicek","Clopper_Pearson",0.02,25000,0.25,0.0033
"vasicek","Wald",0.02,25000,0.25,0.0169
"vasicek","Wilson",0.02,25000,0.25,0.0033
"vasicek","Agresti_Coull",0.02,50000,0.01,0
"vasicek","Clopper_Pearson",0.02,50000,0.01,0
"vasicek","Wald",0.02,50000,0.01,0
"vasicek","Wilson",0.02,50000,0.01,0
"vasicek","Agresti_Coull",0.02,50000,0.05,0
"vasicek","Clopper_Pearson",0.02,50000,0.05,0
"vasicek","Wald",0.02,50000,0.05,0
"vasicek","Wilson",0.02,50000,0.05,0
"vasicek","Agresti_Coull",0.02,50000,0.1,0
"vasicek","Clopper_Pearson",0.02,50000,0.1,0
"vasicek","Wald",0.02,50000,0.1,0
"vasicek","Wilson",0.02,50000,0.1,0
"vasicek","Agresti_Coull",0.02,50000,0.2,5e-04
"vasicek","Clopper_Pearson",0.02,50000,0.2,1e-04
"vasicek","Wald",0.02,50000,0.2,0.0015
"vasicek","Wilson",0.02,50000,0.2,1e-04
"vasicek","Agresti_Coull",0.02,50000,0.25,0.0039
"vasicek","Clopper_Pearson",0.02,50000,0.25,0.002
"vasicek","Wald",0.02,50000,0.25,0.0088
"vasicek","Wilson",0.02,50000,0.25,0.002
"vasicek","Agresti_Coull",0.02,1e+05,0.01,0
"vasicek","Clopper_Pearson",0.02,1e+05,0.01,0
"vasicek","Wald",0.02,1e+05,0.01,0
"vasicek","Wilson",0.02,1e+05,0.01,0
"vasicek","Agresti_Coull",0.02,1e+05,0.05,0
"vasicek","Clopper_Pearson",0.02,1e+05,0.05,0
"vasicek","Wald",0.02,1e+05,0.05,0
"vasicek","Wilson",0.02,1e+05,0.05,0
"vasicek","Agresti_Coull",0.02,1e+05,0.1,0
"vasicek","Clopper_Pearson",0.02,1e+05,0.1,0
"vasicek","Wald",0.02,1e+05,0.1,0
"vasicek","Wilson",0.02,1e+05,0.1,0
"vasicek","Agresti_Coull",0.02,1e+05,0.2,3e-04
"vasicek","Clopper_Pearson",0.02,1e+05,0.2,2e-04
"vasicek","Wald",0.02,1e+05,0.2,6e-04
"vasicek","Wilson",0.02,1e+05,0.2,2e-04
"vasicek","Agresti_Coull",0.02,1e+05,0.25,0.0015
"vasicek","Clopper_Pearson",0.02,1e+05,0.25,8e-04
"vasicek","Wald",0.02,1e+05,0.25,0.0037
"vasicek","Wilson",0.02,1e+05,0.25,8e-04
"vasicek","Agresti_Coull",0.05,5000,0.01,0
"vasicek","Clopper_Pearson",0.05,5000,0.01,0
"vasicek","Wald",0.05,5000,0.01,0
"vasicek","Wilson",0.05,5000,0.01,0
"vasicek","Agresti_Coull",0.05,5000,0.05,0
"vasicek","Clopper_Pearson",0.05,5000,0.05,0
"vasicek","Wald",0.05,5000,0.05,0
"vasicek","Wilson",0.05,5000,0.05,0
"vasicek","Agresti_Coull",0.05,5000,0.1,1e-04
"vasicek","Clopper_Pearson",0.05,5000,0.1,0
"vasicek","Wald",0.05,5000,0.1,1e-04
"vasicek","Wilson",0.05,5000,0.1,0
"vasicek","Agresti_Coull",0.05,5000,0.2,0.0014
"vasicek","Clopper_Pearson",0.05,5000,0.2,6e-04
"vasicek","Wald",0.05,5000,0.2,0.0045
"vasicek","Wilson",0.05,5000,0.2,0
