"p","n","rho","Wald","Clopper_Pearson","Wilson","Agresti_Coull"
0.01,1e+05,0.1,0.00113023308595741,0.00114048685896145,0.00113100330596831,0.00113179359639521
0.01,1e+05,0.2,0.00100563724426373,0.00101607091732995,0.00100687002314473,0.00100806540115807
0.01,1e+05,0.25,0.000946676146526319,0.000957339552079984,0.00094838049437251,0.000949888156132062
0.02,5000,0.01,0.00770321655746254,0.00791338171163226,0.00773613532751997,0.00777180500943313
0.02,5000,0.05,0.00741440508260005,0.00762611503695615,0.0074517588784915,0.00749160799888344
0.02,5000,0.1,0.00713369734186987,0.00734789233980212,0.00717767990224593,0.00722335170108063
0.02,5000,0.2,0.00652709310234299,0.00675663684735055,0.00659911430784394,0.0066598384745033
0.02,5000,0.25,0.00620949141533286,0.00645363623160885,0.00630456583187585,0.00637336156868901
0.02,10000,0.01,0.00544523411062995,0.00554883965787017,0.00545688298845467,0.00546954087157305
0.02,10000,0.05,0.00529263644840102,0.00539671433875724,0.00530565193421085,0.00531962446439764
0.02,10000,0.1,0.00505399132449245,0.00515889053750013,0.00506936968726857,0.00508558475512008
0.02,10000,0.2,0.00463163041757979,0.00474123981392049,0.00465664759214428,0.0046792038530963
0.02,10000,0.25,0.00441857326656531,0.00453249237529228,0.00445101766997669,0.00447700471897125
0.02,25000,0.01,0.00344436080133243,0.00348527491615896,0.00344730739149699,0.00345051488203832
0.02,25000,0.05,0.00334103753903915,0.00338207625710777,0.0033443454153527,0.00334790383899168
0.02,25000,0.1,0.00321451796577372,0.00325575582748339,0.00321839832525614,0.00322250811083404
0.02,25000,0.2,0.00288961360343208,0.00293168677356461,0.00289558164427025,0.00290145197420984
0.02,25000,0.25,0.00276646693316536,0.00280955565448338,0.00277442312107024,0.00278152946725931
0.02,50000,0.01,0.00243600486382807,0.00245632849040981,0.00243704673059009,0.00243818151616121
0.02,50000,0.05,0.0023689415373498,0.00238930653555389,0.00237010351214872,0.0023713554275976
0.02,50000,0.1,0.00226923405232003,0.00228967310280232,0.00227061152037766,0.00227207371040727
0.02,50000,0.2,0.00206643594420119,0.00208713025150431,0.00206851243841251,0.00207061903046224
0.02,50000,0.25,0.00196051876240097,0.00198157999303303,0.00196335728081308,0.00196598179363947
0.02,1e+05,0.01,0.00172005471075734,0.00173016951992629,0.00172042385855265,0.00172082592679934
0.02,1e+05,0.05,0.00166866865987813,0.00167879903001699,0.00166908298596032,0.00166952916933447
0.02,1e+05,0.1,0.00160493008771397,0.001615085140394,0.00160541634122348,0.00160593298478771
0.02,1e+05,0.2,0.00146803729634264,0.00147828248651104,0.00146877185248057,0.00146952016454534
0.02,1e+05,0.25,0.0014137361106493,0.00142407818024977,0.00141469391841461,0.00141561719423683
0.05,5000,0.01,0.012006972713805,0.0122107805771096,0.0120225527496542,0.0120426909977525
0.05,5000,0.05,0.0117027368955009,0.0119072510639008,0.0117202997235829,0.0117422813427421
0.05,5000,0.1,0.0113894893976725,0.0115949891007993,0.011409806951447,0.0114343372025511
0.05,5000,0.2,0.0105643909056384,0.0107738761134474,0.0105946292924317,0.0106274058024962
0.05,5000,0.25,0.0101245394498575,0.0103391342513801,0.0101645141009195,0.0102029055596734
0.05,10000,0.01,0.00848357540358631,0.0085849372158305,0.0084890967384328,0.00849623792330047
0.05,10000,0.05,0.00826975590803514,0.00837136577961644,0.00827597475019098,0.00828376845638043
0.05,10000,0.1,0.00803064012495905,0.00813261552068534,0.0080378982822548,0.00804667527299105
0.05,10000,0.2,0.00747703269358571,0.00758031785519544,0.00748772822647947,0.00749953387352998
0.05,10000,0.25,0.00721655046417626,0.00732109869555381,0.00723002294012422,0.00724384683023008
0.05,25000,0.01,0.00537083419692841,0.00541118009358808,0.0053722280167186,0.00537403350385305
0.05,25000,0.05,0.00524597129234655,0.00528637796978201,0.00524753658162137,0.00524950355314189
0.05,25000,0.1,0.00506273156544033,0.00510323686935932,0.00506457628751229,0.00506680759191504
0.05,25000,0.2,0.00470388495712216,0.00474470950611148,0.00470659465901158,0.00470961575663446
0.05,25000,0.25,0.00450605452319363,0.004547146391001,0.00450944187334963,0.0045130380462577
0.05,50000,0.01,0.00379603773242824,0.00381616067481349,0.00379653103009481,0.00379716997937965
0.05,50000,0.05,0.00370321280412527,0.00372335793046282,0.00370376864843625,0.00370446650735024
0.05,50000,0.1,0.0035861393156969,0.0036063177415512,0.0035867897691035,0.00358757755797839
