"model","method","p","n","rho","coverage"
"vasicek","Wald",0.001,5000,0.01,0.7818
"vasicek","Wilson",0.001,5000,0.01,0.9139
"vasicek","Agresti_Coull",0.001,5000,0.05,0.7789
"vasicek","Clopper_Pearson",0.001,5000,0.05,0.8075
"vasicek","Wald",0.001,5000,0.05,0.5649
"vasicek","Wilson",0.001,5000,0.05,0.7789
"vasicek","Agresti_Coull",0.001,5000,0.1,0.6705
"vasicek","Clopper_Pearson",0.001,5000,0.1,0.6918
"vasicek","Wald",0.001,5000,0.1,0.4142
"vasicek","Wilson",0.001,5000,0.1,0.6705
"vasicek","Agresti_Coull",0.001,5000,0.2,0.5153
"vasicek","Clopper_Pearson",0.001,5000,0.2,0.528
"vasicek","Wald",0.001,5000,0.2,0.2636
"vasicek","Wilson",0.001,5000,0.2,0.5153
"vasicek","Agresti_Coull",0.001,5000,0.25,0.4403
"vasicek","Clopper_Pearson",0.001,5000,0.25,0.4527
"vasicek","Wald",0.001,5000,0.25,0.2181
"vasicek","Wilson",0.001,5000,0.25,0.4403
"vasicek","Agresti_Coull",0.001,10000,0.01,0.8615
"vasicek","Clopper_Pearson",0.001,10000,0.01,0.8838
"vasicek","Wald",0.001,10000,0.01,0.791
"vasicek","Wilson",0.001,10000,0.01,0.8615
"vasicek","Agresti_Coull",0.001,10000,0.05,0.6131
"vasicek","Clopper_Pearson",0.001,10000,0.05,0.6299
"vasicek","Wald",0.001,10000,0.05,0.5004
"vasicek","Wilson",0.001,10000,0.05,0.6131
"vasicek","Agresti_Coull",0.001,10000,0.1,0.463
"vasicek","Clopper_Pearson",0.001,10000,0.1,0.478
"vasicek","Wald",0.001,10000,0.1,0.349
"vasicek","Wilson",0.001,10000,0.1,0.463
"vasicek","Agresti_Coull",0.001,10000,0.2,0.2959
"vasicek","Clopper_Pearson",0.001,10000,0.2,0.3032
"vasicek","Wald",0.001,10000,0.2,0.2159
"vasicek","Wilson",0.001,10000,0.2,0.2959
"vasicek","Agresti_Coull",0.001,10000,0.25,0.2415
"vasicek","Clopper_Pearson",0.001,10000,0.25,0.2485
"vasicek","Wald",0.001,10000,0.25,0.1774
"vasicek","Wilson",0.001,10000,0.25,0.2415
"vasicek","Agresti_Coull",0.001,25000,0.01,0.6837
"vasicek","Clopper_Pearson",0.001,25000,0.01,0.7037
"vasicek","Wald",0.001,25000,0.01,0.6879
"vasicek","Wilson",0.001,25000,0.01,0.6837
"vasicek","Agresti_Coull",0.001,25000,0.05,0.3735
"vasicek","Clopper_Pearson",0.001,25000,0.05,0.3838
"vasicek","Wald",0.001,25000,0.05,0.3653
"vasicek","Wilson",0.001,25000,0.05,0.3735
"vasicek","Agresti_Coull",0.001,25000,0.1,0.2454
"vasicek","Clopper_Pearson",0.001,25000,0.1,0.2537
"vasicek","Wald",0.001,25000,0.1,0.2394
"vasicek","Wilson",0.001,25000,0.1,0.2454
"vasicek","Agresti_Coull",0.001,25000,0.2,0.1479
"vasicek","Clopper_Pearson",0.001,25000,0.2,0.152
"vasicek","Wald",0.001,25000,0.2,0.143
"vasicek","Wilson",0.001,25000,0.2,0.1479
"vasicek","Agresti_Coull",0.001,25000,0.25,0.1203
"vasicek","Clopper_Pearson",0.001,25000,0.25,0.1243
"vasicek","Wald",0.001,25000,0.25,0.1169
"vasicek","Wilson",0.001,25000,0.25,0.1203
"vasicek","Agresti_Coull",0.001,50000,0.01,0.5435
"vasicek","Clopper_Pearson",0.001,50000,0.01,0.5564
"vasicek","Wald",0.001,50000,0.01,0.5446
"vasicek","Wilson",0.001,50000,0.01,0.5435
"vasicek","Agresti_Coull",0.001,50000,0.05,0.2606
"vasicek","Clopper_Pearson",0.001,50000,0.05,0.2653
"vasicek","Wald",0.001,50000,0.05,0.2587
"vasicek","Wilson",0.001,50000,0.05,0.2606
"vasicek","Agresti_Coull",0.001,50000,0.1,0.1732
"vasicek","Clopper_Pearson",0.001,50000,0.1,0.177
"vasicek","Wald",0.001,50000,0.1,0.1721
"vasicek","Wilson",0.001,50000,0.1,0.1732
"vasicek","Agresti_Coull",0.001,50000,0.2,0.1001
"vasicek","Clopper_Pearson",0.001,50000,0.2,0.1028
"vasicek","Wald",0.001,50000,0.2,0.0987
"vasicek","Wilson",0.001,50000,0.2,0.1001
"vasicek","Agresti_Coull",0.001,50000,0.25,0.0806
"vasicek","Clopper_Pearson",0.001,50000,0.25,0.082
"vasicek","Wald",0.001,50000,0.25,0.0784
"vasicek","Wilson",0.001,50000,0.25,0.0806
"vasicek","Agresti_Coull",0.001,1e+05,0.01,0.4214
"vasicek","Clopper_Pearson",0.001,1e+05,0.01,0.429
"vasicek","Wald",0.001,1e+05,0.01,0.4121
"vasicek","Wilson",0.001,1e+05,0.01,0.4214
"vasicek","Agresti_Coull",0.001,1e+05,0.05,0.1911
"vasicek","Clopper_Pearson",0.001,1e+05,0.05,0.1953
"vasicek","Wald",0.001,1e+05,0.05,0.1862
"vasicek","Wilson",0.001,1e+05,0.05,0.1911
"vasicek","Agresti_Coull",0.001,1e+05,0.1,0.1281
"vasicek","Clopper_Pearson",0.001,1e+05,0.1,0.1308
"vasicek","Wald",0.001,1e+05,0.1,0.126
"vasicek","Wilson",0.001,1e+05,0.1,0.1281
"vasicek","Agresti_Coull",0.001,1e+05,0.2,0.0727
"vasicek","Clopper_Pearson",0.001,1e+05,0.2,0.0745
"vasicek","Wald",0.001,1e+05,0.2,0.0721
"vasicek","Wilson",0.001,1e+05,0.2,0.0727
"vasicek","Agresti_Coull",0.001,1e+05,0.25,0.0571
"vasicek","Clopper_Pearson",0.001,1e+05,0.25,0.0587
"vasicek","Wald",0.001,1e+05,0.25,0.0555
"vasicek","Wilson",0.001,1e+05,0.25,0.0571
"vasicek","Agresti_Coull",0.005,5000,0.01,0.7375
"vasicek","Clopper_Pearson",0.005,5000,0.01,0.7567
"vasicek","Wald",0.005,5000,0.01,0.7421
"vasicek","Wilson",0.005,5000,0.01,0.7375
"vasicek","Agresti_Coull",0.005,5000,0.05,0.4298
"vasicek","Clopper_Pearson",0.005,5000,0.05,0.4425
"vasicek","Wald",0.005,5000,0.05,0.4215
"vasicek","Wilson",0.005,5000,0.05,0.4298
"vasicek","Agresti_Coull",0.005,5000,0.1,0.2978
"vasicek","Clopper_Pearson",0.005,5000,0.1,0.3069
"vasicek","Wald",0.005,5000,0.1,0.2906
"vasicek","Wilson",0.005,5000,0.1,0.2978
"vasicek","Agresti_Coull",0.005,5000,0.2,0.1898
"vasicek","Clopper_Pearson",0.005,5000,0.2,0.195
"vasicek","Wald",0.005,5000,0.2,0.1847
"vasicek","Wilson",0.005,5000,0.2,0.1898
"vasicek","Agresti_Coull",0.005,5000,0.25,0.153
"vasicek","Clopper_Pearson",0.005,5000,0.25,0.157
"vasicek","Wald",0.005,5000,0.25,0.1478
"vasicek","Wilson",0.005,5000,0.25,0.153
"vasicek","Agresti_Coull",0.005,10000,0.01,0.6006
"vasicek","Clopper_Pearson",0.005,10000,0.01,0.6134
"vasicek","Wald",0.005,10000,0.01,0.6054
"vasicek","Wilson",0.005,10000,0.01,0.6006
"vasicek","Agresti_Coull",0.005,10000,0.05,0.3079
"vasicek","Clopper_Pearson",0.005,10000,0.05,0.315
"vasicek","Wald",0.005,10000,0.05,0.3067
"vasicek","Wilson",0.005,10000,0.05,0.3079
"vasicek","Agresti_Coull",0.005,10000,0.1,0.214
"vasicek","Clopper_Pearson",0.005,10000,0.1,0.2199
"vasicek","Wald",0.005,10000,0.1,0.2128
"vasicek","Wilson",0.005,10000,0.1,0.214
"vasicek","Agresti_Coull",0.005,10000,0.2,0.1284
"vasicek","Clopper_Pearson",0.005,10000,0.2,0.1309
"vasicek","Wald",0.005,10000,0.2,0.1265
"vasicek","Wilson",0.005,10000,0.2,0.1284
"vasicek","Agresti_Coull",0.005,10000,0.25,0.1081
"vasicek","Clopper_Pearson",0.005,10000,0.25,0.1113
"vasicek","Wald",0.005,10000,0.25,0.1072
"vasicek","Wilson",0.005,10000,0.25,0.1081
"vasicek","Agresti_Coull",0.005,25000,0.01,0.4323
"vasicek","Clopper_Pearson",0.005,25000,0.01,0.4388
"vasicek","Wald",0.005,25000,0.01,0.435
"vasicek","Wilson",0.005,25000,0.01,0.4323
"vasicek","Agresti_Coull",0.005,25000,0.05,0.1995
"vasicek","Clopper_Pearson",0.005,25000,0.05,0.203
"vasicek","Wald",0.005,25000,0.05,0.2003
"vasicek","Wilson",0.005,25000,0.05,0.1995
"vasicek","Agresti_Coull",0.005,25000,0.1,0.1368
"vasicek","Clopper_Pearson",0.005,25000,0.1,0.1384
"vasicek","Wald",0.005,25000,0.1,0.1367
"vasicek","Wilson",0.005,25000,0.1,0.1368
"vasicek","Agresti_Coull",0.005,25000,0.2,0.0854
"vasicek","Clopper_Pearson",0.005,25000,0.2,0.0864
"vasicek","Wald",0.005,25000,0.2,0.0866
"vasicek","Wilson",0.005,25000,0.2,0.0854
"vasicek","Agresti_Coull",0.005,25000,0.25,0.0625
"vasicek","Clopper_Pearson",0.005,25000,0.25,0.0633
"vasicek","Wald",0.005,25000,0.25,0.0623
"vasicek","Wilson",0.005,25000,0.25,0.0625
"vasicek","Agresti_Coull",0.005,50000,0.01,0.3203
"vasicek","Clopper_Pearson",0.005,50000,0.01,0.3255
"vasicek","Wald",0.005,50000,0.01,0.3247
"vasicek","Wilson",0.005,50000,0.01,0.3203
"vasicek","Agresti_Coull",0.005,50000,0.05,0.1408
"vasicek","Clopper_Pearson",0.005,50000,0.05,0.1427
"vasicek","Wald",0.005,50000,0.05,0.1419
"vasicek","Wilson",0.005,50000,0.05,0.1408
"vasicek","Agresti_Coull",0.005,50000,0.1,0.0968
"vasicek","Clopper_Pearson",0.005,50000,0.1,0.0978
"vasicek","Wald",0.005,50000,0.1,0.0976
"vasicek","Wilson",0.005,50000,0.1,0.0968
"vasicek","Agresti_Coull",0.005,50000,0.2,0.056
"vasicek","Clopper_Pearson",0.005,50000,0.2,0.057
"vasicek","Wald",0.005,50000,0.2,0.0569
"vasicek","Wilson",0.005,50000,0.2,0.056
"vasicek","Agresti_Coull",0.005,50000,0.25,0.0461
"vasicek","Clopper_Pearson",0.005,50000,0.25,0.0465
"vasicek","Wald",0.005,50000,0.25,0.0466
"vasicek","Wilson",0.005,50000,0.25,0.0461
"vasicek","Agresti_Coull",0.005,1e+05,0.01,0.2332
"vasicek","Clopper_Pearson",0.005,1e+05,0.01,0.235
"vasicek","Wald",0.005,1e+05,0.01,0.231
"vasicek","Wilson",0.005,1e+05,0.01,0.2332
"vasicek","Agresti_Coull",0.005,1e+05,0.05,0.0987
"vasicek","Clopper_Pearson",0.005,1e+05,0.05,0.0998
"vasicek","Wald",0.005,1e+05,0.05,0.0976
"vasicek","Wilson",0.005,1e+05,0.05,0.0987
"vasicek","Agresti_Coull",0.005,1e+05,0.1,0.0663
"vasicek","Clopper_Pearson",0.005,1e+05,0.1,0.0665
"vasicek","Wald",0.005,1e+05,0.1,0.0655
"vasicek","Wilson",0.005,1e+05,0.1,0.0663
"vasicek","Agresti_Coull",0.005,1e+05,0.2,0.0392
"vasicek","Clopper_Pearson",0.005,1e+05,0.2,0.0394
"vasicek","Wald",0.005,1e+05,0.2,0.0389
"vasicek","Wilson",0.005,1e+05,0.2,0.0392
"vasicek","Agresti_Coull",0.005,1e+05,0.25,0.0328
"vasicek","Clopper_Pearson",0.005,1e+05,0.25,0.0328
"vasicek","Wald",0.005,1e+05,0.25,0.0318
"vasicek","Wilson",0.005,1e+05,0.25,0.0328
"vasicek","Agresti_Coull",0.01,5000,0.01,0.6385
"vasicek","Clopper_Pearson",0.01,5000,0.01,0.652
"vasicek","Wald",0.01,5000,0.01,0.6443
"vasicek","Wilson",0.01,5000,0.01,0.6385
"vasicek","Agresti_Coull",0.01,5000,0.05,0.3316
"vasicek","Clopper_Pearson",0.01,5000,0.05,0.3395
"vasicek","Wald",0.01,5000,0.05,0.329
"vasicek","Wilson",0.01,5000,0.05,0.3316
"vasicek","Agresti_Coull",0.01,5000,0.1,0.2303
"vasicek","Clopper_Pearson",0.01,5000,0.1,0.2365
"vasicek","Wald",0.01,5000,0.1,0.2312
"vasicek","Wilson",0.01,5000,0.1,0.2303
"vasicek","Agresti_Coull",0.01,5000,0.2,0.1389
"vasicek","Clopper_Pearson",0.01,5000,0.2,0.1429
"vasicek","Wald",0.01,5000,0.2,0.1401
"vasicek","Wilson",0.01,5000,0.2,0.1389
"vasicek","Agresti_Coull",0.01,5000,0.25,0.1167
"vasicek","Clopper_Pearson",0.01,5000,0.25,0.1197
"vasicek","Wald",0.01,5000,0.25,0.1181
"vasicek","Wilson",0.01,5000,0.25,0.1167
"vasicek","Agresti_Coull",0.01,10000,0.01,0.4981
"vasicek","Clopper_Pearson",0.01,10000,0.01,0.5093
"vasicek","Wald",0.01,10000,0.01,0.4923
"vasicek","Wilson",0.01,10000,0.01,0.4981
"vasicek","Agresti_Coull",0.01,10000,0.05,0.2383
"vasicek","Clopper_Pearson",0.01,10000,0.05,0.2423
"vasicek","Wald",0.01,10000,0.05,0.2322
"vasicek","Wilson",0.01,10000,0.05,0.2383
"vasicek","Agresti_Coull",0.01,10000,0.1,0.1612
"vasicek","Clopper_Pearson",0.01,10000,0.1,0.1654
"vasicek","Wald",0.01,10000,0.1,0.1585
"vasicek","Wilson",0.01,10000,0.1,0.1612
"vasicek","Agresti_Coull",0.01,10000,0.2,0.1074
"vasicek","Clopper_Pearson",0.01,10000,0.2,0.1093
"vasicek","Wald",0.01,10000,0.2,0.1043
"vasicek","Wilson",0.01,10000,0.2,0.1074
"vasicek","Agresti_Coull",0.01,10000,0.25,0.0883
"vasicek","Clopper_Pearson",0.01,10000,0.25,0.0905
"vasicek","Wald",0.01,10000,0.25,0.0855
"vasicek","Wilson",0.01,10000,0.25,0.0883
"vasicek","Agresti_Coull",0.01,25000,0.01,0.3418
"vasicek","Clopper_Pearson",0.01,25000,0.01,0.3466
"vasicek","Wald",0.01,25000,0.01,0.3464
"vasicek","Wilson",0.01,25000,0.01,0.3418
"vasicek","Agresti_Coull",0.01,25000,0.05,0.1517
"vasicek","Clopper_Pearson",0.01,25000,0.05,0.1539
"vasicek","Wald",0.01,25000,0.05,0.153
"vasicek","Wilson",0.01,25000,0.05,0.1517
"vasicek","Agresti_Coull",0.01,25000,0.1,0.1053
"vasicek","Clopper_Pearson",0.01,25000,0.1,0.1066
"vasicek","Wald",0.01,25000,0.1,0.1066
"vasicek","Wilson",0.01,25000,0.1,0.1053
"vasicek","Agresti_Coull",0.01,25000,0.2,0.0601
"vasicek","Clopper_Pearson",0.01,25000,0.2,0.0605
"vasicek","Wald",0.01,25000,0.2,0.0602
"vasicek","Wilson",0.01,25000,0.2,0.0601
"vasicek","Agresti_Coull",0.01,25000,0.25,0.0511
"vasicek","Clopper_Pearson",0.01,25000,0.25,0.0519
"vasicek","Wald",0.01,25000,0.25,0.0512
"vasicek","Wilson",0.01,25000,0.25,0.0511
"vasicek","Agresti_Coull",0.01,50000,0.01,0.2513
"vasicek","Clopper_Pearson",0.01,50000,0.01,0.2534
"vasicek","Wald",0.01,50000,0.01,0.2501
"vasicek","Wilson",0.01,50000,0.01,0.2513
"vasicek","Agresti_Coull",0.01,50000,0.05,0.1114
"vasicek","Clopper_Pearson",0.01,50000,0.05,0.1127
"vasicek","Wald",0.01,50000,0.05,0.1111
"vasicek","Wilson",0.01,50000,0.05,0.1114
"vasicek","Agresti_Coull",0.01,50000,0.1,0.0794
"vasicek","Clopper_Pearson",0.01,50000,0.1,0.0799
"vasicek","Wald",0.01,50000,0.1,0.0781
"vasicek","Wilson",0.01,50000,0.1,0.0794
"vasicek","Agresti_Coull",0.01,50000,0.2,0.0421
"vasicek","Clopper_Pearson",0.01,50000,0.2,0.0427
"vasicek","Wald",0.01,50000,0.2,0.042
"vasicek","Wilson",0.01,50000,0.2,0.0421
"vasicek","Agresti_Coull",0.01,50000,0.25,0.0384
"vasicek","Clopper_Pearson",0.01,50000,0.25,0.0386
"vasicek","Wald",0.01,50000,0.25,0.0381
"vasicek","Wilson",0.01,50000,0.25,0.0384
"vasicek","Agresti_Coull",0.01,1e+05,0.01,0.181
"vasicek","Clopper_Pearson",0.01,1e+05,0.01,0.1824
"vasicek","Wald",0.01,1e+05,0.01,0.1801
"vasicek","Wilson",0.01,1e+05,0.01,0.181
"vasicek","Agresti_Coull",0.01,1e+05,0.05,0.0747
"vasicek","Clopper_Pearson",0.01,1e+05,0.05,0.0753
"vasicek","Wald",0.01,1e+05,0.05,0.0747
"vasicek","Wilson",0.01,1e+05,0.05,0.0747
"vasicek","Agresti_Coull",0.01,1e+05,0.1,0.0479
"vasicek","Clopper_Pearson",0.01,1e+05,0.1,0.0482
"vasicek","Wald",0.01,1e+05,0.1,0.0482
"vasicek","Wilson",0.01,1e+05,0.1,0.0479
"vasicek","Agresti_Coull",0.01,1e+05,0.2,0.0324
"vasicek","Clopper_Pearson",0.01,1e+05,0.2,0.0326
"vasicek","Wald",0.01,1e+05,0.2,0.0323
"vasicek","Wilson",0.01,1e+05,0.2,0.0324
"vasicek","Agresti_Coull",0.01,1e+05,0.25,0.0242
"vasicek","Clopper_Pearson",0.01,1e+05,0.25,0.0244
"vasicek","Wald",0.01,1e+05,0.25,0.0244
"vasicek","Wilson",0.01,1e+05,0.25,0.0242
"vasicek","Agresti_Coull",0.02,5000,0.01,0.5505
"vasicek","Clopper_Pearson",0.02,5000,0.01,0.5617
"vasicek","Wald",0.02,5000,0.01,0.5425
"vasicek","Wilson",0.02,5000,0.01,0.5505
"vasicek","Agresti_Coull",0.02,5000,0.05,0.262
"vasicek","Clopper_Pearson",0.02,5000,0.05,0.2668
"vasicek","Wald",0.02,5000,0.05,0.2547
"vasicek","Wilson",0.02,5000,0.05,0.262
"vasicek","Agresti_Coull",0.02,5000,0.1,0.1914
"vasicek","Clopper_Pearson",0.02,5000,0.1,0.1944
"vasicek","Wald",0.02,5000,0.1,0.1886
"vasicek","Wilson",0.02,5000,0.1,0.1914
"vasicek","Agresti_Coull",0.02,5000,0.2,0.1167
"vasicek","Clopper_Pearson",0.02,5000,0.2,0.1176
"vasicek","Wald",0.02,5000,0.2,0.1135
"vasicek","Wilson",0.02,5000,0.2,0.1167
"vasicek","Agresti_Coull",0.02,5000,0.25,0.0968
"vasicek","Clopper_Pearson",0.02,5000,0.25,0.0997
"vasicek","Wald",0.02,5000,0.25,0.0958
"vasicek","Wilson",0.02,5000,0.25,0.0968
"vasicek","Agresti_Coull",0.02,10000,0.01,0.4105
"vasicek","Clopper_Pearson",0.02,10000,0.01,0.4159
"vasicek","Wald",0.02,10000,0.01,0.4061
"vasicek","Wilson",0.02,10000,0.01,0.4105
"vasicek","Agresti_Coull",0.02,10000,0.05,0.195
"vasicek","Clopper_Pearson",0.02,10000,0.05,0.1975
"vasicek","Wald",0.02,10000,0.05,0.1918
"vasicek","Wilson",0.02,10000,0.05,0.195
"vasicek","Agresti_Coull",0.02,10000,0.1,0.1327
"vasicek","Clopper_Pearson",0.02,10000,0.1,0.1342
"vasicek","Wald",0.02,10000,0.1,0.1312
"vasicek","Wilson",0.02,10000,0.1,0.1327
"vasicek","Agresti_Coull",0.02,10000,0.2,0.0799
"vasicek","Clopper_Pearson",0.02,10000,0.2,0.0812
"vasicek","Wald",0.02,10000,0.2,0.0788
"vasicek","Wilson",0.02,10000,0.2,0.0799
"vasicek","Agresti_Coull",0.02,10000,0.25,0.0657
"vasicek","Clopper_Pearson",0.02,10000,0.25,0.067
"vasicek","Wald",0.02,10000,0.25,0.0657
"vasicek","Wilson",0.02,10000,0.25,0.0657
"vasicek","Agresti_Coull",0.02,25000,0.01,0.2816
"vasicek","Clopper_Pearson",0.02,25000,0.01,0.2842
"vasicek","Wald",0.02,25000,0.01,0.2786
"vasicek","Wilson",0.02,25000,0.01,0.2816
"vasicek","Agresti_Coull",0.02,25000,0.05,0.1184
"vasicek","Clopper_Pearson",0.02,25000,0.05,0.12
"vasicek","Wald",0.02,25000,0.05,0.118
"vasicek","Wilson",0.02,25000,0.05,0.1184
"vasicek","Agresti_Coull",0.02,25000,0.1,0.0794
"vasicek","Clopper_Pearson",0.02,25000,0.1,0.0808
"vasicek","Wald",0.02,25000,0.1,0.0795
"vasicek","Wilson",0.02,25000,0.1,0.0794
"vasicek","Agresti_Coull",0.02,25000,0.2,0.0542
"vasicek","Clopper_Pearson",0.02,25000,0.2,0.055
"vasicek","Wald",0.02,25000,0.2,0.0542
"vasicek","Wilson",0.02,25000,0.2,0.0542
"vasicek","Agresti_Coull",0.02,25000,0.25,0.0425
"vasicek","Clopper_Pearson",0.02,25000,0.25,0.043
"vasicek","Wald",0.02,25000,0.25,0.0424
"vasicek","Wilson",0.02,25000,0.25,0.0425
"vasicek","Agresti_Coull",0.02,50000,0.01,0.1998
"vasicek","Clopper_Pearson",0.02,50000,0.01,0.2011
"vasicek","Wald",0.02,50000,0.01,0.1999
"vasicek","Wilson",0.02,50000,0.01,0.1998
"vasicek","Agresti_Coull",0.02,50000,0.05,0.0881
"vasicek","Clopper_Pearson",0.02,50000,0.05,0.0887
"vasicek","Wald",0.02,50000,0.05,0.0877
"vasicek","Wilson",0.02,50000,0.05,0.0881
"vasicek","Agresti_Coull",0.02,50000,0.1,0.0585
"vasicek","Clopper_Pearson",0.02,50000,0.1,0.0588
"vasicek","Wald",0.02,50000,0.1,0.0581
"vasicek","Wilson",0.02,50000,0.1,0.0585
"vasicek","Agresti_Coull",0.02,50000,0.2,0.0372
"vasicek","Clopper_Pearson",0.02,50000,0.2,0.0374
"vasicek","Wald",0.02,50000,0.2,0.0373
"vasicek","Wilson",0.02,50000,0.2,0.0372
"vasicek","Agresti_Coull",0.02,50000,0.25,0.0292
"vasicek","Clopper_Pearson",0.02,50000,0.25,0.0295
"vasicek","Wald",0.02,50000,0.25,0.0294
"vasicek","Wilson",0.02,50000,0.25,0.0292
"vasicek","Agresti_Coull",0.02,1e+05,0.01,0.1414
"vasicek","Clopper_Pearson",0.02,1e+05,0.01,0.142
"vasicek","Wald",0.02,1e+05,0.01,0.1407
"vasicek","Wilson",0.02,1e+05,0.01,0.1414
"vasicek","Agresti_Coull",0.02,1e+05,0.05,0.0595
"vasicek","Clopper_Pearson",0.02,1e+05,0.05,0.06
"vasicek","Wald",0.02,1e+05,0.05,0.0596
"vasicek","Wilson",0.02,1e+05,0.05,0.0595
"vasicek","Agresti_Coull",0.02,1e+05,0.1,0.0367
"vasicek","Clopper_Pearson",0.02,1e+05,0.1,0.0369
"vasicek","Wald",0.02,1e+05,0.1,0.0368
