"method","coverage","avg_width","median_width","lower_zero_rate","p","n","rho","rho_default","deff","n_eff","model"
"Wald",0.9553,0.0208731691743009,0.0207997093988346,0,0.02,10000,0.01,0.0013727079602002,14.7257068940418,679.084547312708,"vasicek_eff_n"
"Wilson",0.9593,0.0215154942592326,0.0214339721294139,0,0.02,10000,0.01,0.0013727079602002,14.7257068940418,679.084547312708,"vasicek_eff_n"
"Agresti_Coull",0.9585,0.0423871649072918,0.0422320876469645,0,0.05,10000,0.01,0.00222943518483509,23.2921224131661,429.329703090836,"vasicek_eff_n"
"Clopper_Pearson",0.9647,0.0434909555743252,0.0433430256229925,0,0.05,10000,0.01,0.00222943518483509,23.2921224131661,429.329703090836,"vasicek_eff_n"
"Wald",0.9467,0.0410246016809179,0.0408781081567453,0,0.05,10000,0.01,0.00222943518483509,23.2921224131661,429.329703090836,"vasicek_eff_n"
"Wilson",0.9549,0.0416257497816722,0.0414747945680998,0,0.05,10000,0.01,0.00222943518483509,23.2921224131661,429.329703090836,"vasicek_eff_n"
"Agresti_Coull",0.9779,0.00567180001015225,0.00531044457781709,0.8505,0.001,10000,0.05,0.000801362675058338,9.01282538790832,1109.52998306348,"vasicek_eff_n"
"Clopper_Pearson",0.9803,0.00500610815131918,0.0046511895384227,0.0246,0.001,10000,0.05,0.000801362675058338,9.01282538790832,1109.52998306348,"vasicek_eff_n"
"Wald",0.9192,0.0026838164356827,0.0022562362717535,0.9759,0.001,10000,0.05,0.000801362675058338,9.01282538790832,1109.52998306348,"vasicek_eff_n"
"Wilson",0.9527,0.0049510652784328,0.00463953446943411,0.0246,0.001,10000,0.05,0.000801362675058338,9.01282538790832,1109.52998306348,"vasicek_eff_n"
"Agresti_Coull",0.9631,0.0171820509490521,0.0168937205406449,0.5166,0.005,10000,0.05,0.00217616669944694,22.7594908277699,439.37714053772,"vasicek_eff_n"
"Clopper_Pearson",0.9703,0.0158298004193266,0.0152114978730388,1e-04,0.005,10000,0.05,0.00217616669944694,22.7594908277699,439.37714053772,"vasicek_eff_n"
"Wald",0.907,0.0109904541918213,0.0100748795761608,0.8725,0.005,10000,0.05,0.00217616669944694,22.7594908277699,439.37714053772,"vasicek_eff_n"
"Wilson",0.9476,0.0152904960986117,0.0146782942486056,1e-04,0.005,10000,0.05,0.00217616669944694,22.7594908277699,439.37714053772,"vasicek_eff_n"
"Agresti_Coull",0.9656,0.0325584028821848,0.0322153251689734,0.4617,0.01,10000,0.05,0.00415493867532809,42.5452318146055,235.043965527696,"vasicek_eff_n"
"Clopper_Pearson",0.9741,0.0302912490953869,0.0293544126534621,0,0.01,10000,0.05,0.00415493867532809,42.5452318146055,235.043965527696,"vasicek_eff_n"
"Wald",0.924,0.021651413036123,0.0202362502227267,0.8542,0.01,10000,0.05,0.00415493867532809,42.5452318146055,235.043965527696,"vasicek_eff_n"
"Wilson",0.9511,0.0290845942738538,0.0281419951349145,0,0.01,10000,0.05,0.00415493867532809,42.5452318146055,235.043965527696,"vasicek_eff_n"
"Agresti_Coull",0.9675,0.0582184845448656,0.0574645750908834,0.3207,0.02,10000,0.05,0.00728091768541191,73.8018959364336,135.497874046666,"vasicek_eff_n"
"Clopper_Pearson",0.9771,0.0551786429129486,0.0538632795243544,0,0.02,10000,0.05,0.00728091768541191,73.8018959364336,135.497874046666,"vasicek_eff_n"
