"p","n","rho","Wald","Clopper_Pearson","Wilson","Agresti_Coull"
0.005,1e+05,0.05,0.0976,0.0998,0.0987,0.0987
0.005,1e+05,0.1,0.0655,0.0665,0.0663,0.0663
0.005,1e+05,0.2,0.0389,0.0394,0.0392,0.0392
0.005,1e+05,0.25,0.0318,0.0328,0.0328,0.0328
0.01,5000,0.01,0.6443,0.652,0.6385,0.6385
0.01,5000,0.05,0.329,0.3395,0.3316,0.3316
0.01,5000,0.1,0.2312,0.2365,0.2303,0.2303
0.01,5000,0.2,0.1401,0.1429,0.1389,0.1389
0.01,5000,0.25,0.1181,0.1197,0.1167,0.1167
0.01,10000,0.01,0.4923,0.5093,0.4981,0.4981
0.01,10000,0.05,0.2322,0.2423,0.2383,0.2383
0.01,10000,0.1,0.1585,0.1654,0.1612,0.1612
0.01,10000,0.2,0.1043,0.1093,0.1074,0.1074
0.01,10000,0.25,0.0855,0.0905,0.0883,0.0883
0.01,25000,0.01,0.3464,0.3466,0.3418,0.3418
0.01,25000,0.05,0.153,0.1539,0.1517,0.1517
0.01,25000,0.1,0.1066,0.1066,0.1053,0.1053
0.01,25000,0.2,0.0602,0.0605,0.0601,0.0601
0.01,25000,0.25,0.0512,0.0519,0.0511,0.0511
0.01,50000,0.01,0.2501,0.2534,0.2513,0.2513
0.01,50000,0.05,0.1111,0.1127,0.1114,0.1114
0.01,50000,0.1,0.0781,0.0799,0.0794,0.0794
0.01,50000,0.2,0.042,0.0427,0.0421,0.0421
0.01,50000,0.25,0.0381,0.0386,0.0384,0.0384
0.01,1e+05,0.01,0.1801,0.1824,0.181,0.181
0.01,1e+05,0.05,0.0747,0.0753,0.0747,0.0747
0.01,1e+05,0.1,0.0482,0.0482,0.0479,0.0479
0.01,1e+05,0.2,0.0323,0.0326,0.0324,0.0324
0.01,1e+05,0.25,0.0244,0.0244,0.0242,0.0242
0.02,5000,0.01,0.5425,0.5617,0.5505,0.5505
0.02,5000,0.05,0.2547,0.2668,0.262,0.262
0.02,5000,0.1,0.1886,0.1944,0.1914,0.1914
0.02,5000,0.2,0.1135,0.1176,0.1167,0.1167
0.02,5000,0.25,0.0958,0.0997,0.0968,0.0968
0.02,10000,0.01,0.4061,0.4159,0.4105,0.4105
0.02,10000,0.05,0.1918,0.1975,0.195,0.195
0.02,10000,0.1,0.1312,0.1342,0.1327,0.1327
0.02,10000,0.2,0.0788,0.0812,0.0799,0.0799
0.02,10000,0.25,0.0657,0.067,0.0657,0.0657
0.02,25000,0.01,0.2786,0.2842,0.2816,0.2816
0.02,25000,0.05,0.118,0.12,0.1184,0.1184
0.02,25000,0.1,0.0795,0.0808,0.0794,0.0794
0.02,25000,0.2,0.0542,0.055,0.0542,0.0542
0.02,25000,0.25,0.0424,0.043,0.0425,0.0425
0.02,50000,0.01,0.1999,0.2011,0.1998,0.1998
0.02,50000,0.05,0.0877,0.0887,0.0881,0.0881
0.02,50000,0.1,0.0581,0.0588,0.0585,0.0585
0.02,50000,0.2,0.0373,0.0374,0.0372,0.0372
0.02,50000,0.25,0.0294,0.0295,0.0292,0.0292
0.02,1e+05,0.01,0.1407,0.142,0.1414,0.1414
0.02,1e+05,0.05,0.0596,0.06,0.0595,0.0595
0.02,1e+05,0.1,0.0368,0.0369,0.0367,0.0367
0.02,1e+05,0.2,0.0233,0.0237,0.0234,0.0234
0.02,1e+05,0.25,0.0217,0.0217,0.0216,0.0216
0.05,5000,0.01,0.4147,0.4294,0.424,0.424
0.05,5000,0.05,0.2,0.2075,0.2045,0.2045
